"055500,QD,2010,11,10",0.7589
"055500,QD,2010,11,17",0.6333
"055500,QD,2010,11,24",0.6569
"055500,QD,2010,12,01",0.6516
"055500,QD,2010,12,08",2.5871
"055500,QD,2010,12,15",1.2957
"055500,QD,2010,12,22",4.0900
"055500,QD,2010,12,29",1.4400
"055500,QD,2011,01,05",1.9384
"055500,QD,2011,01,12",4.0757
"055500,QD,2011,01,19",1.8600
"055500,QD,2011,01,26",1.0536
"055500,QD,2011,02,02",1.8076
"055500,QD,2011,02,09",1.4771
"055500,QD,2011,02,16",0.9686
"055500,QD,2011,02,23",0.7213
"055500,QD,2011,03,02",0.6524
"055500,QD,2011,03,09",0.6097
"055500,QD,2011,03,16",1.2157
"055500,QD,2011,03,23",0.8151
"055500,QD,2011,03,30",0.6276
"055500,QD,2011,04,06",0.5397
"055500,QD,2011,04,13",0.6197
"055500,QD,2011,04,20",0.4171
"055500,QD,2011,04,27",0.4204
"055500,QD,2011,05,04",0.4549
"055500,QD,2011,05,11",0.3490
"055500,QD,2011,05,18",0.3177
"055500,QD,2011,05,25",0.4091
"055500,QD,2011,06,01",0.3296
"055500,QD,2011,06,08",0.3290
"055500,QD,2011,06,15",0.2540
"055500,QD,2011,06,22",0.3907
"055500,QD,2011,06,29",0.4284
"055500,QD,2011,07,06",0.4373
"055500,QD,2011,07,13",0.3213
"055500,QD,2011,07,20",2.2927
"055500,QD,2011,07,27",0.6951
"055500,QD,2011,08,03",0.6539
"055500,QD,2011,08,10",0.4820
"055500,QD,2011,08,17",0.3121
"055500,QD,2011,08,24",0.2283
"055500,QD,2011,08,31",0.9181
"055500,QD,2011,09,07",0.6844
"055500,QD,2011,09,14",0.4766
"055500,QD,2011,09,21",0.5703
"055500,QD,2011,09,28",0.2870
"055500,QD,2011,10,05",0.3923
"055500,QD,2011,10,12",0.5387
"055500,QD,2011,10,19",0.4216
"055500,QD,2011,10,26",0.3494
"055500,QD,2011,11,02",0.3157
"055500,QD,2011,11,09",0.2959
"055500,QD,2011,11,16",0.3334
"055500,QD,2011,11,23",0.2787
"055500,QD,2011,11,30",0.3720
"055500,QD,2011,12,07",0.5786
"055500,QD,2011,12,14",0.4793
"055500,QD,2011,12,21",0.9489
"055500,QD,2011,12,28",1.1387
"055500,QD,2012,01,04",2.2600
"055500,QD,2012,01,11",1.9214
"055500,QD,2012,01,18",3.2200
"055500,QD,2012,01,25",1.7880
"055500,QD,2012,02,01",0.6050
"055500,QD,2012,02,08",0.5104
"055500,QD,2012,02,15",0.7210
"055500,QD,2012,02,22",3.7170
"055500,QD,2012,02,29",6.0514
"055500,QD,2012,03,07",1.6586
"055500,QD,2012,03,14",1.4257
"055500,QD,2012,03,21",0.8297
"055500,QD,2012,03,28",0.7317
"055500,QD,2012,04,04",0.5350
"055500,QD,2012,04,11",0.6337
"055500,QD,2012,04,18",0.7570
"055500,QD,2012,04,25",0.3603
"055500,QD,2012,05,02",0.4663
"055500,QD,2012,05,09",0.3961
"055500,QD,2012,05,16",0.2687
"055500,QD,2012,05,23",0.2151
"055500,QD,2012,05,30",0.2871
"055500,QD,2012,06,06",0.2326
"055500,QD,2012,06,13",0.2063
"055500,QD,2012,06,20",0.2759
"055500,QD,2012,06,27",0.1761
"055500,QD,2012,07,04",0.6076
"055500,QD,2012,07,11",0.2390
"055500,QD,2012,07,18",0.3627
"055500,QD,2012,07,25",0.2317
"055500,QD,2012,08,01",0.2041
"055500,QD,2012,08,08",0.1866
"055500,QD,2012,08,15",0.1151
"055500,QD,2012,08,22",0.1691
"055500,QD,2012,08,29",0.2161
"055500,QD,2012,09,05",0.1936
"055500,QD,2012,09,12",0.4644
"055500,QD,2012,09,19",0.3174
"055500,QD,2012,09,26",0.2100
"055500,QD,2012,10,03",0.2080
"055500,QD,2012,10,10",0.1993
"055500,QD,2012,10,17",0.2461
"055500,QD,2012,10,24",0.3527
"055500,QD,2012,10,31",0.6640
"055500,QD,2012,11,07",0.6213
"055500,QD,2012,11,14",0.3591
"055500,QD,2012,11,21",0.2690
"055500,QD,2012,11,28",0.2529
"055500,QD,2012,12,05",0.2711
"055500,QD,2012,12,12",0.8607
"055500,QD,2012,12,19",1.6330
"055500,QD,2012,12,26",1.9586
"055500,QD,2013,01,02",2.3743
"055500,QD,2013,01,09",2.5143
"055500,QD,2013,01,16",1.0531
"055500,QD,2013,01,23",0.6256
"055500,QD,2013,01,30",4.1129
"055500,QD,2013,02,06",1.5329
"055500,QD,2013,02,13",0.8567
"055500,QD,2013,02,20",1.3386
"055500,QD,2013,02,27",2.5643
"055500,QD,2013,03,06",2.6129
"055500,QD,2013,03,13",1.4829
"055500,QD,2013,03,20",0.8874
"055500,QD,2013,03,27",0.7370
"055500,QD,2013,04,03",0.8063
"055500,QD,2013,04,10",2.1000
"055500,QD,2013,04,17",1.2171
"055500,QD,2013,04,24",0.7034
"055500,QD,2013,05,01",1.5310
"055500,QD,2013,05,08",1.7357
"055500,QD,2013,05,15",1.2821
"055500,QD,2013,05,22",0.8269
"055500,QD,2013,05,29",3.7107
"055500,QD,2013,06,05",2.6200
"055500,QD,2013,06,12",0.9699
"055500,QD,2013,06,19",5.5393
"055500,QD,2013,06,26",6.1943
"055500,QD,2013,07,03",1.1624
"055500,QD,2013,07,10",0.8023
"055500,QD,2013,07,17",0.3994
"055500,QD,2013,07,24",0.3401
"055500,QD,2013,07,31",0.3793
"055500,QD,2013,08,07",0.4040
"055500,QD,2013,08,14",0.2561
"055500,QD,2013,08,21",0.2259
"055500,QD,2013,08,28",0.2131
"055500,QD,2013,09,04",0.1702
"055500,QD,2013,09,11",1.3681
"055500,QD,2013,09,18",1.3981
"055500,QD,2013,09,25",0.6410
"055500,QD,2013,10,02",0.3451
"055500,QD,2013,10,09",0.6110
"055500,QD,2013,10,16",0.6281
"055500,QD,2013,10,23",0.5017
"055500,QD,2013,10,30",0.3583
"055500,QD,2013,11,06",0.3320
"055500,QD,2013,11,13",0.3391
"055500,QD,2013,11,20",0.3020
"055500,QD,2013,11,27",0.2923
"055500,QD,2013,12,04",0.5586
"055500,QD,2013,12,11",0.7881
"055500,QD,2013,12,18",0.3987
"055500,QD,2013,12,25",0.3336
"055500,QD,2014,01,01",0.3189
"055500,QD,2014,01,08",0.3303
"055500,QD,2014,01,15",0.4576
"055500,QD,2014,01,22",0.8043
"055500,QD,2014,01,29",0.5853
"055500,QD,2014,02,05",0.5426
"055500,QD,2014,02,12",0.5083
"055500,QD,2014,02,19",0.4766
"055500,QD,2014,02,26",0.3777
"055500,QD,2014,03,05",0.2937
"055500,QD,2014,03,12",0.3873
"055500,QD,2014,03,19",1.2171
"055500,QD,2014,03,26",1.4910
"055500,QD,2014,04,02",0.7371
"055500,QD,2014,04,09",0.6820
"055500,QD,2014,04,16",0.6391
"055500,QD,2014,04,23",0.6707
"055500,QD,2014,04,30",1.3027
"055500,QD,2014,05,07",0.7923
"055500,QD,2014,05,14",1.1273
"055500,QD,2014,05,21",1.0391
"055500,QD,2014,05,28",1.3429
"055500,QD,2014,06,04",0.5851
"055500,QD,2014,06,11",0.3484
"055500,QD,2014,06,18",0.2264
"055500,QD,2014,06,25",0.3067
"055500,QD,2014,07,02",0.1890
"055500,QD,2014,07,09",0.3480
"055500,QD,2014,07,16",0.1700
"055500,QD,2014,07,23",0.1584
"055500,QD,2014,07,30",2.3770
"055500,QD,2014,08,06",0.7153
"055500,QD,2014,08,13",0.3649
"055500,QD,2014,08,20",0.2410
"055500,QD,2014,08,27",1.9996
"055500,QD,2014,09,03",2.3157
"055500,QD,2014,09,10",3.3143
"055500,QD,2014,09,17",1.9400
"055500,QD,2014,09,24",1.5100
"055500,QD,2014,10,01",1.0149
"055500,QD,2014,10,08",0.7414
"055500,QD,2014,10,15",0.5239
"055500,QD,2014,10,22",1.1003
"055500,QD,2014,10,29",0.6280
"055500,QD,2014,11,05",0.6100
"055500,QD,2014,11,12",0.5636
"055500,QD,2014,11,19",0.7964
"055500,QD,2014,11,26",0.6283
"055500,QD,2014,12,03",1.2496
"055500,QD,2014,12,10",0.9303
"055500,QD,2014,12,17",1.1664
"055500,QD,2014,12,24",0.9599
"055500,QD,2014,12,31",1.0623
"055500,QD,2015,01,07",3.7486
"055500,QD,2015,01,14",2.2014
"055500,QD,2015,01,21",1.7814
